datetime,portfolio_value,cash,return
2023-01-03 09:30:00-05:00,100000.0,100000.0,
2023-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-06 09:30:00-05:00,99884.30206298828,149623.6001586914,-0.0011569793701171616
2023-01-07 09:30:00-05:00,99884.30206298828,149623.6001586914,0.0
2023-01-09 09:30:00-05:00,98875.50079345703,149623.6001586914,-0.01009969783735476
2023-01-10 09:30:00-05:00,99877.01922607422,224184.26922607422,0.01012908581580052
2023-01-11 09:30:00-05:00,101316.24240112305,-12038.230773925781,0.014409953222483729
2023-01-12 09:30:00-05:00,102599.40310668945,-12038.230773925781,0.012664906190324565
2023-01-13 09:30:00-05:00,101717.9478149414,-12038.230773925781,-0.008591232161764606
2023-01-14 09:30:00-05:00,101717.9478149414,-12038.230773925781,0.0
2023-01-17 09:30:00-05:00,103122.49240112305,-12038.230773925781,0.013808227715495835
2023-01-18 09:30:00-05:00,103275.66204833984,-12038.230773925781,0.0014853175447020472
2023-01-19 09:30:00-05:00,100486.80499267578,-12038.230773925781,-0.027004010435282333
2023-01-20 09:30:00-05:00,100700.67098999023,-12038.230773925781,0.002128299305864445
2023-01-21 09:30:00-05:00,100700.67098999023,-12038.230773925781,0.0
2023-01-23 09:30:00-05:00,102613.84957885742,-12038.230773925781,0.018998667735365515
2023-01-24 09:30:00-05:00,103238.09063720703,-12038.230773925781,0.0060833996669220625
2023-01-25 09:30:00-05:00,102391.32275390625,-12038.230773925781,-0.008202087796029045
2023-01-26 09:30:00-05:00,104466.34063720703,-12038.230773925781,0.020265563794775954
2023-01-27 09:30:00-05:00,104619.51028442383,-12038.230773925781,0.0014662105160621053
2023-01-28 09:30:00-05:00,105472.78172607422,105472.78172607422,0.008155949490975756
2023-01-30 09:30:00-05:00,105472.78172607422,105472.78172607422,0.0
2023-01-31 09:30:00-05:00,105255.6839477539,53108.78331298828,-0.002058329881581611
2023-02-01 09:30:00-05:00,106055.36131591797,26634.202990722653,0.007597474437209595
2023-02-02 09:30:00-05:00,107946.7601196289,26634.202990722653,0.017834070623519382
2023-02-03 09:30:00-05:00,108051.3997680664,121222.2796508789,0.0009693634929064388
2023-02-04 09:30:00-05:00,108051.3997680664,47547.67030639648,0.0
2023-02-06 09:30:00-05:00,107786.8015625,47547.67030639648,-0.0024488179341902727
2023-02-07 09:30:00-05:00,107598.19880981445,23779.849810791013,-0.0017497759461411189
2023-02-08 09:30:00-05:00,108471.50081176758,23779.849810791013,0.008116325473967567
2023-02-09 09:30:00-05:00,108733.90056152343,23779.849810791013,0.0024190662781664596
2023-02-10 09:30:00-05:00,106981.14680786133,23779.849810791013,-0.016119662263659684
2023-02-11 09:30:00-05:00,106981.14680786133,12009.9102355957,0.0
2023-02-13 09:30:00-05:00,107650.39052124023,12009.9102355957,0.00625571638880329
2023-02-14 09:30:00-05:00,107615.11067504883,113372.47053833008,-0.0003277261329065473
2023-02-15 09:30:00-05:00,107627.57045288086,113372.47053833008,0.00011578093219322128
2023-02-16 09:30:00-05:00,107649.41041870117,113372.47053833008,0.00020292166522395405
2023-02-17 09:30:00-05:00,107272.66890258789,51236.38923950195,-0.0034997081233232308
2023-02-18 09:30:00-05:00,107272.66890258789,51236.38923950195,0.0
2023-02-21 09:30:00-05:00,106521.14999511719,106521.14999511719,-0.007005688542653266
2023-02-22 09:30:00-05:00,106053.8688671875,53317.23031738281,-0.0043867450543962905
